When was Shakespeare baptized?	April 26, 1564
"Who becomes romantically entangled with Longaville in ""Love's Labour's Lost""?"	Maria
"Who is the fiancée of Angelo in ""Measure for Measure""?"	Mariana
"Who isa friend of the Widow in ""All's Well That Ends Well""?"	Mariana
"Who converts her customers from debauchery in ""Pericles""?"	Marina
"Who are framed and executed for Bassianus' murder in ""Titus Andronicus""?"	Martius and Quintus
"Who tests Falstaff in disguise as Master Brook in ""The Merry Wives of Windsor""?"	Master Ford
"Who is the witty friend of Romeo killed by Tybalt in ""Romeo and Juliet""?"	Mercutio
"Who falls in love with Ferdinand in ""The Tempest""?"	Miranda
"Who is killed by his father in ""Titus Andronicus""?"	Mutius
"Who marries Gratiano in ""The Merchant of Venice""?"	Nerissa
"Who leads the rebellion against the king in the ""Henry IV"" plays?"	The Earl of Northumberland, Henry Percy
"Who marries Mark Antony in ""Antony and Cleopatra""?"	Octavia
"Who is one of the Triumvirs in ""Antony and Cleopatra""?"	Octavius Caesar
"Who commits suicide by drowning herself in ""Hamlet""?"	Ophelia
"Who is the daughter of Master and Mistress Page in ""The Merry Wives of Windsor""?"	Anne Page
"Whois killed by Romeo in ""Romeo and Juliet""?"	Paris
"Who reveals the statue of Hermione in ""The Winter's Tale""?"	Paulina
"Whois the prince of Aragon in ""Much Ado About Nothing""?"	Don Pedro
"Who is married to Florizel in ""The Winter's Tale""?"	Perdita
"Who is reunited with his wife and daughter in ""Pericles""?"	Pericles
"Who 'tames' Katherine in ""The Taming of the Shrew""?"	Petruchio
"Who is a highwayman and close companion of Hal in the ""Henry IV"" plays?"	Poins
"Who is the chief adviser in the court of King Claudius in ""Hamlet""?"	Polonius
"Who takes the name Balthasar in disguise as a lawyer in ""The Merchant of Venice""?"	Portia
"Whois the wife of Brutus in ""Julius Caesar""?"	Portia
"Who is the wronged Duke of Milan in ""The Tempest""?"	Prospero
"Who covets Silvia and attempts to rape her in ""The Two Gentlemen of Verona""?"	Proteus
Who is noted for her vulgar malapropisms in multiple Shakespeare plays?	Mistress Quickly
"Who is married to the Duke of Cornwall in ""King Lear""?"	Regan
"Who is gulled by Iago throughout ""Othello""?"	Roderigo
"Who disguises herself as a boy called Ganymede in ""As You Like It""?"	Rosalind
"Who becomes romantically entangled with Berowne in ""Love's Labour's Lost""?"	Rosaline
"Who is Romeo initially in love with before falling for Juliet in ""Romeo and Juliet""?"	Rosaline
"Who is the youngest son of Richard Duke of York, killed by Clifford in ""Henry VI Part 3""?"	Rutland
"Who is mistaken for his twin sister Viola in ""Twelfth Night""?"	Sebastian
"Who conspires with Antonio to murder Alonzo and Gonzalo in ""The Tempest""?"	Sebastian
"Who is the father of Rosalind and usurped by his brother in ""As You Like It""?"	Duke Senior
"Who claims a pound of Antonio's flesh in ""The Merchant of Venice""?"	Shylock
"Who are the tribunes and chief political enemies of the protagonist in ""Coriolanus""?"	Sicinius Velutus and Junius Brutus
"Who is the faithful lover of Valentine in ""The Two Gentlemen of Verona""?"	Silvia
"Who plays ""Wall"" in ""Pyramus and Thisbe"" within ""A Midsummer Night's Dream""?"	Tom Snout
"Who conspires with Caliban and Trinculo to kill Prospero in ""The Tempest""?"	Stephano
"Who is Portia's servant in ""The Merchant of Venice""?"	Stephano
"Who is the evil queen of the Goths in ""Titus Andronicus""?"	Tamora
"Who becomes a priestess at the temple of Diana in ""Pericles""?"	Thaisa
"Who is the central character in ""Timon of Athens"" whose overgenerosity leads him into poverty?"	Timon
"Who falls in love with Bottom under the influence of loveinidleness in ""A Midsummer Night's Dream""?"	Titania
"Who are the leaders of the Roman forces against the Volscians in ""Coriolanus""?"	Titus Lartius and Cominius
"Who is disguised as Friar Lodowick in ""Measure for Measure""?"	Vincentio
"Who calls herself Cesario in her male disguise in ""Twelfth Night""?"	Viola
Which play introduced the concept of 'Chorus' in Shakespeare's works?	Romeo and Juliet
"In which form is the first Prologue/Chorus in “Romeo and Juliet""?"	Sonnet
"Who gives the Prologue in ""A Midsummer Night's Dream""?"	Peter Quince
"What role does 'Rumour' play in ""Henry IV, Part 2""?"	Chorus
"How many times does the Chorus appear in ""Henry v""?"	Five times
Which play features the character John Gower as the Chorus?	Pericles
"Who disguises as Cesario in ""Twelfth Night""?"	Viola
In which play does Prospero serve as the Epilogue?	The Tempest
"Which character is disguised as the Doctor of Law in ""The Merchant of Venice""?"	Portia
"""The course of true love never did run smooth"" is a line from which play?"	A Midsummer Night's Dream
"Which Shakespeare play includes the masque of ""Pyramus and Thisbe""?"	A Midsummer Night's Dream
Which play features masques in its narrative?	Henry VIII
Which history play by Shakespeare has an epilogue?	Henry IV
Which comedy by Shakespeare has an epilogue delivered by Rosalind?	As You Like It
"In ""The Winter's Tale,"" who plays the role of the Chorus?"	Time
"Which play includes the famous epilogue, ""If we shadows have offended""?"	A Midsummer Night's Dream
In which play does Henry V appear as a Prologue and an Epilogue?	Henry V
"Which character in ""Cymbeline"" is disguised as Morgan?"	Belarius
"Who delivers the epilogue in ""The Two Noble Kinsmen""?"	A Speaker (Chorus)
Which play does not feature a chorus, prologue, or epilogue?	Hamlet
"""Shall I compare thee to a summer's day?"" is the opening line of which sonnet?"	Sonnet 18
"In which sonnet does Shakespeare write ""Let me not to the marriage of true minds""?"	Sonnet 116
"Which sonnet starts with ""Since brass, nor stone, nor earth, nor boundless sea""?"	Sonnet 65
"""My mistress' eyes are nothing like the sun"" is the first line of which sonnet?"	Sonnet 130
Which sonnet describes love as something that does not alter when it alteration finds?	Sonnet 116
"Who is disguised as a eunuch in ""Twelfth Night""?"	Viola
"Which character plays the role of Time in ""The Winter's Tale""?"	Time (personified)
"Which play features the famous line, ""Shall I compare thee to a summer's day?""?"	None of the above (It is a sonnet)
"Who is disguised as Friar Lodowick in ""Measure for Measure""?"	Vincentio
"In ""As You Like It,"" who is disguised as Ganymede?"	Rosalind
Which is the longest tragedy written by Shakespeare?	Hamlet
Which is the shortest tragedy written by Shakespeare?	Macbeth
Which play is the longest of all Shakespeare's plays?	Hamlet
Which is the shortest play written by Shakespeare?	The Comedy of Errors
Which is the longest Roman play by Shakespeare?	Coriolanus
Which is the shortest Roman play by Shakespeare?	Julius Caesar
Which is the longest tragicomedy play written by Shakespeare?	Cymbeline
Which is the shortest tragicomedy play by Shakespeare?	The Tempest
Which is the longest history play written by Shakespeare?	Richard III
Which is the shortest history play written by Shakespeare?	Edward III
Which is the longest comedy written by Shakespeare?	All's Well That Ends Well
Which is the shortest comedy written by Shakespeare?	The Comedy of Errors
How many lines does Shakespeare's longest play, Hamlet, have?	4024
How many lines does Macbeth, the shortest tragedy, contain?	2477
What is the number of lines in the shortest Shakespearean play, The Comedy of Errors?	1786
Which Roman play by Shakespeare has 3824 lines?	Coriolanus
How many lines does Julius Caesar, the shortest Roman play, have?	2636
How many lines does Cymbeline, the longest tragicomedy, contain?	3753
How many lines does The Tempest, the shortest tragicomedy, have?	2275
What is the number of lines in Richard III, the longest history play?	3718
How many lines does Edward III, the shortest history play, have?	2605
How many lines does All's Well That Ends Well, the longest comedy, contain?	2927
Which Shakespeare play with 4024 lines is both the longest tragedy and the longest play overall?	Hamlet
"In which category does the play ""Coriolanus"" belong, based on its length?"	Longest Roman Play
"Identify the play: ""This shortest Shakespearean play is a comedy with 1786 lines."""	The Comedy of Errors
Which Shakespeare play, with 2636 lines, is the shortest among his Roman plays?	Julius Caesar
Name the play that is the shortest tragicomedy and contains 2275 lines.	The Tempest
Which play, with 3718 lines, is the longest among Shakespeare's history plays?	Richard III
Identify the shortest history play by Shakespeare, with 2605 lines.	Edward III
Which Shakespeare play is the longest comedy with 2927 lines?	All's Well That Ends Well
"In which act and scene does the storm scene in ""King Lear"" occur?"	Act 3, Scene 4
"In ""Othello,"" how does Desdemona die?"	Strangled
"The ""Nunnery scene"" in ""Hamlet"" is between which two characters?"	Hamlet and Ophelia
"In the ""closet scene"" in ""Hamlet,"" who hides behind the arras?"	Polonius
"What are the gravediggers debating in ""Hamlet"" Act 5, Scene 1?"	The legitimacy of Ophelia’s burial in the churchyard.
"Which act and scene in ""Romeo and Juliet"" features the famous balcony scene?"	Act 2, Scene 2
"Who does Juliet wait for in the orchard scene of ""Romeo and Juliet"" Act 2, Scene 5?"	The Nurse
Which play features the meeting of Kate and Petruchio?	The Taming of the Shrew
Who does Richard III woo in Act 1, Scene 2?	Lady Anne Neville
"What is the main conflict between Brutus and Cassius in ""Julius Caesar"" Act 4, Scene 3?"	Brutus accuses Cassius of dishonesty
"In ""Julius Caesar,"" Act 2, Scene 2, who is trying to uncover Brutus's secrets?"	Portia
"In ""All's Well That Ends Well,"" who discusses virginity with Helena in Act 1, Scene 1?"	Parolles
"Who does Bertram try to woo in Act 4, Scene 2 of ""All's Well That Ends Well""?"	Diana
"In ""Antony and Cleopatra,"" why is Cleopatra angry in Act 1, Scene 3?"	Antony is leaving Egypt
"How does Cleopatra die in ""Antony and Cleopatra"" Act 5, Scene 2?"	Snake bite
"In ""Macbeth,"" Act 1, Scene 7, what is Macbeth debating?"	Whether to kill King Duncan
"In ""Macbeth,"" Act 2, Scene 2, how does Macbeth react after Duncan’s murder?"	He is filled with remorse and fear
"What does the Porter compare himself to in ""Macbeth"" Act 2, Scene 3?"	The Porter of Hell gate
In which act and scene does Macbeth murder King Duncan?	Act 2, Scene 2
"In ""Measure for Measure,"" what does Angelo demand from Isabella in return for her brother's life?"	Her virginity
"Who does Isabella reveal Angelo's offer to in ""Measure for Measure,"" Act 3, Scene 1?"	Claudio
"In ""As You Like It,"" what disguise does Rosalind take on in the Forest of Arden?"	A nobleman named Ganymede
"What is the title of the play within a play in ""A Midsummer Night's Dream""?"	The Most Lamentable Comedy and Most Cruel Death of Pyramus and Thisbe
"In ""A Midsummer Night's Dream,"" why are Titania and Oberon quarreling?"	Over the changeling boy
"Who follows Demetrius into the forest in ""A Midsummer Night's Dream""?"	Helena
"In ""Richard III,"" whom does Richard try to persuade to help him court her daughter? 8."	Queen Elizabeth
"In ""The Merchant of Venice,"" what do Portia and Nerissa discuss in Act 1, Scene 2?"	Suitors and suitable partners for Portia
"Why does Bassanio ask Antonio for money in ""The Merchant of Venice""?"	To woo Portia
"In ""Twelfth Night,"" who is Viola disguised as when she tries to woo Olivia?"	A page named Cesario
"In ""Henry IV, Part 1,"" whom does Prince Hal converse with about the future of the kingdom?"	Falstaff
"In ""Measure for Measure,"" Act 3, Scene 1, what does Claudio ask Isabella to do?"	Accept Angelo's offer to save his life
"In ""As You Like It,"" what does Rosalind, disguised as Ganymede, promise to do for Orlando?"	Cure him of his lovesickness
"What event is Peter Quince preparing for in ""A Midsummer Night's Dream,"" Act 1, Scene 2?"	The wedding of Theseus and Hippolyta
"In ""Richard III,"" Act 4, Scene 4, why does Richard want to court Queen Elizabeth's daughter?"	To secure his claim to the throne
